Name,Stance on crypto,Role,State,Party
Rick Scott,Strongly Supportive,Senator,Florida,Republican
Tim Scott,Strongly Supportive,Senator,South Carolina,Republican
Tim Sheehy,Strongly Supportive,Senator,Montana,Republican
Mikie Sherrill,Strongly Supportive,Congressperson,New Jersey,Democratic
Jefferson Shreve,Strongly Supportive,Congressperson,Indiana,Republican
Elissa Slotkin,Strongly Supportive,Senator,Michigan,Democratic
Eric Sorensen,Strongly Supportive,Congressperson,Illinois,Democratic
Greg Stanton,Strongly Supportive,Congressperson,Arizona,Democratic
Elise Stefanik,Strongly Supportive,Congressperson,New York,Republican
Haley Stevens,Strongly Supportive,Congressperson,Michigan,Democratic
Marilyn Strickland,Strongly Supportive,Congressperson,Washington,Democratic
Suhas Subramanyam,Strongly Supportive,Congressperson,Virginia,Democratic
Shri Thanedar,Strongly Supportive,Congressperson,Michigan,Democratic
Thom Tillis,Strongly Supportive,Senator,North Carolina,Republican
Derek Tran,Strongly Supportive,Congressperson,California,Democratic
David Valadao,Strongly Supportive,Congressperson,California,Republican
Beth Van Duyne,Strongly Supportive,Congressperson,Texas,Republican
Marc Veasey,Strongly Supportive,Congressperson,Texas,Democratic
Eugene Vindman,Strongly Supportive,Congressperson,Virginia,Democratic
Daniel Webster,Strongly Supportive,Congressperson,Florida,Republican
George Whitesides,Strongly Supportive,Congressperson,California,Democratic
Tony Wied,Strongly Supportive,Congressperson,Wisconsin,Republican
Roger Williams,Strongly Supportive,Congressperson,Texas,Republican
Rob Wittman,Strongly Supportive,Congressperson,Virginia,Republican
Steve Womack,Strongly Supportive,Congressperson,Arkansas,Republican
Rudy Yakym III,Strongly Supportive,Congressperson,Indiana,Republican
Catherine Cortez Masto,Strongly Supportive,Senator,Nevada,Democratic
John Fetterman,Strongly Supportive,Senator,Pennsylvania,Democratic
Julie Johnson,Strongly Supportive,Congressperson,Texas,Democratic
Ro Khanna,Strongly Supportive,Congressperson,California,Democratic
Ami Bera,Strongly Supportive,Congressperson,California,Democratic
Suzan DelBene,Strongly Supportive,Congressperson,Washington,Democratic
Maggie Hassan,Strongly Supportive,Senator,New Hampshire,Democratic
Chrissy Houlahan,Strongly Supportive,Congressperson,Pennsylvania,Democratic
Dave Min,Strongly Supportive,Congressperson,California,Democratic
Nancy Pelosi,Strongly Supportive,Congressperson,California,Democratic
Mike Thompson,Strongly Supportive,Congressperson,California,Democratic
Vicente Gonzalez,Strongly Supportive,Congressperson,Texas,Democratic
Nick LaLota,Strongly Supportive,Congressperson,New York,Republican
Chris Pappas,Strongly Supportive,Congressperson,New Hampshire,Democratic
Salud Carbajal,Strongly Supportive,Congressperson,California,Democratic
Lou Correa,Strongly Supportive,Congressperson,California,Democratic
Lois Frankel,Strongly Supportive,Congressperson,Florida,Democratic
Mark Kelly,Strongly Supportive,Senator,Arizona,Democratic
Raul Ruiz DR.,Strongly Supportive,Congressperson,California,Democratic
Gabe Vasquez,Strongly Supportive,Congressperson,New Mexico,Democratic
Marie Gluesenkamp Perez,Strongly Supportive,Congressperson,Washington,Democratic
Jared Golden,Strongly Supportive,Congressperson,Maine,Democratic
Kim Schrier DR.,Strongly Supportive,Congressperson,Washington,Democratic
Terri Sewell,Strongly Supportive,Congressperson,Alabama,Democratic
Jeff Jackson,Strongly Supportive,Political Figure,North Carolina,Democratic
Ron DeSantis,Not Calculated,Governor,Florida,Republican
Warren Davidson,Somewhat Supportive,Congressperson,Ohio,Republican
Liz Murrill,Not Calculated,Attorney General,Louisiana,Republican
SPStacey Plaskett,Somewhat Supportive,Congressperson,Virgin Islands,Democratic
Jerry Moran,Somewhat Supportive,Senator,Kansas,Republican
Raphael Warnock,Neutral,Senator,Georgia,Democratic
Andy Kim,Neutral,Senator,New Jersey,Democratic
John Hickenlooper,Neutral,Senator,Colorado,Democratic
Marjorie Greene,Neutral,Congressperson,Georgia,Republican
Michael Cloud,Neutral,Congressperson,Texas,Republican
Andy Harris,Neutral,Congressperson,Maryland,Republican
Chip Roy,Neutral,Congressperson,Texas,Republican
Jake Auchincloss,Neutral,Congressperson,Massachusetts,Democratic
Eric Burlison,Neutral,Congressperson,Missouri,Republican
Eli Crane,Neutral,Congressperson,Arizona,Republican
Russ Fulcher,Neutral,Congressperson,Idaho,Republican
Robert Garcia,Neutral,Congressperson,California,Democratic
Morgan Griffith,Neutral,Congressperson,Virginia,Republican
Sydney Kamlager-Dove,Neutral,Congressperson,California,Democratic
Timothy Kennedy,Neutral,Congressperson,New York,Democratic
Sam Liccardo,Neutral,Congressperson,California,Democratic
Brittany Pettersen,Neutral,Congressperson,Colorado,Democratic
Austin Scott,Neutral,Congressperson,Georgia,Republican
Eric Swalwell,Neutral,Congressperson,California,Democratic
Yassamin Ansari,Neutral,Congressperson,Arizona,Democratic
Andy Biggs,Neutral,Congressperson,Arizona,Republican
Sarah Mcbride,Neutral,Congressperson,Delaware,Democratic
John Olszewski,Neutral,Congressperson,Maryland,Democratic
Scott Peters,Neutral,Congressperson,California,Democratic
Lateefah Simon,Neutral,Congressperson,California,Democratic
Katherine Clark,Neutral,Congressperson,Massachusetts,Democratic
Jasmine Crockett,Neutral,Congressperson,Texas,Democratic
Katie Hobbs,Not Calculated,Governor,Arizona,Democratic
Kevin Mullin,Neutral,Congressperson,California,Democratic
Mike Quigley,Neutral,Congressperson,Illinois,Democratic
Dina Titus,Neutral,Congressperson,Nevada,Democratic
Jim Himes,Somewhat Against,Congressperson,Connecticut,Democratic
Hakeem Jeffries,Somewhat Against,Congressperson,New York,Democratic
Gabe Amo,Somewhat Against,Congressperson,Rhode Island,Democratic
Wesley Bell,Somewhat Against,Congressperson,Missouri,Democratic
Adriano Espaillat,Somewhat Against,Congressperson,New York,Democratic
Robin Kelly,Somewhat Against,Congressperson,Illinois,Democratic
Seth Magaziner,Somewhat Against,Congressperson,Rhode Island,Democratic
Gregory Meeks,Somewhat Against,Congressperson,New York,Democratic
Emilia Sykes,Somewhat Against,Congressperson,Ohio,Democratic
Julia Brownley,Somewhat Against,Congressperson,California,Democratic
Sheila Cherfilus-McCormick,Somewhat Against,Congressperson,Florida,Democratic
Rick Larsen,Somewhat Against,Congressperson,Washington,Democratic
Doris Matsui,Somewhat Against,Congressperson,California,Democratic
Morgan McGarvey,Somewhat Against,Congressperson,Kentucky,Democratic
Grace Meng,Somewhat Against,Congressperson,New York,Democratic
Lori Trahan,Somewhat Against,Congressperson,Massachusetts,Democratic
Debbie Wasserman Schultz,Somewhat Against,Congressperson,Florida,Democratic
Lisa Blunt Rochester,Somewhat Against,Senator,Delaware,Democratic
Sylvester Turner,Strongly against,Congressperson,Texas,Democratic
Scott Perry,Strongly against,Congressperson,Pennsylvania,Republican
Maria Cantwell,Strongly against,Senator,Washington,Democratic
Laura Friedman,Strongly against,Congressperson,California,Democratic
Sarah Elfreth,Strongly against,Congressperson,Maryland,Democratic
Josh Hawley,Strongly against,Senator,Missouri,Republican
Angus King Jr.,Strongly against,Senator,Maine,Independent
Rand Paul,Strongly against,Senator,Kentucky,Republican
Chuck Schumer,Strongly against,Senator,New York,Democratic
Michael Bennet,Strongly against,Senator,Colorado,Democratic
Brian Schatz,Strongly against,Senator,Hawaii,Democratic
Linda Sánchez,Strongly against,Congressperson,California,Democratic
Alma Adams,Strongly against,Congressperson,North Carolina,Democratic
Tammy Baldwin,Strongly against,Senator,Wisconsin,Democratic
Becca Balint,Strongly against,Congressperson,Vermont,Democratic
Nanette Barragán,Strongly against,Congressperson,California,Democratic
Joyce Beatty,Strongly against,Congressperson,Ohio,Democratic
Sanford Bishop Jr.,Strongly against,Congressperson,Georgia,Democratic
Richard Blumenthal,Strongly against,Senator,Connecticut,Democratic
Suzanne Bonamici,Strongly against,Congressperson,Oregon,Democratic
